"Date","Month","Year","Site.Name","COUNTY","meanlatitude","meanlongitude","PM2.5","Ozone"
1-06-20,6,1,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
1-06-20,6,1,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
1-06-20,6,1,"Durham Armory","Durham",36.0329550008979,-78.904037,29.3333333333333,NA
1-06-20,6,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,40
1-06-20,6,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32.25,30.5
1-06-20,6,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,15.6666666666667,NA
1-06-20,6,1,"Leggett","Edgecombe",35.988278,-77.5843,7,NA
1-06-20,6,1,"Linville Falls","Avery",35.972347,-81.933072,4,NA
1-06-20,6,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,18,NA
1-06-20,6,1,"Millbrook School","Wake",35.856111,-78.574167,27.75,32
1-06-20,6,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15.6666666666667,NA
1-06-20,6,1,"West Johnston Co.","Johnston",35.59095,-78.4622,28.5,33
1-07-20,7,1,"Bryson City","Swain",35.434767,-83.442133,45,NA
1-07-20,7,1,"Castle Hayne","New Hanover",34.364167,-77.838611,11,NA
1-07-20,7,1,"Clemmons Middle","Forsyth",36.026,-80.342,40.5,NA
1-07-20,7,1,"Durham Armory","Durham",36.0329550008979,-78.904037,41,NA
1-07-20,7,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,37
1-07-20,7,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,39,29
1-07-20,7,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,26,NA
1-07-20,7,1,"Leggett","Edgecombe",35.988278,-77.5843,12.5,NA
1-07-20,7,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,30,NA
1-07-20,7,1,"Millbrook School","Wake",35.856111,-78.574167,42,31.5
1-07-20,7,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,17,NA
1-07-20,7,1,"West Johnston Co.","Johnston",35.59095,-78.4622,25,30
1-08-20,8,1,"Bryson City","Swain",35.434767,-83.442133,52,NA
1-08-20,8,1,"Castle Hayne","New Hanover",34.364167,-77.838611,9.5,NA
1-08-20,8,1,"Clemmons Middle","Forsyth",36.026,-80.342,51.5,NA
1-08-20,8,1,"Durham Armory","Durham",36.0329550008979,-78.904037,37.3333333333333,NA
1-08-20,8,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,3,42
1-08-20,8,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,42,24
1-08-20,8,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,41.25,NA
1-08-20,8,1,"Leggett","Edgecombe",35.988278,-77.5843,30.5,NA
1-08-20,8,1,"Linville Falls","Avery",35.972347,-81.933072,22,NA
1-08-20,8,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,37.5,NA
1-08-20,8,1,"Millbrook School","Wake",35.856111,-78.574167,44.5,30
1-08-20,8,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,28.6666666666667,NA
1-08-20,8,1,"West Johnston Co.","Johnston",35.59095,-78.4622,35,38
1-09-20,9,1,"Bryson City","Swain",35.434767,-83.442133,45.5,NA
1-09-20,9,1,"Castle Hayne","New Hanover",34.364167,-77.838611,15.5,NA
1-09-20,9,1,"Clemmons Middle","Forsyth",36.026,-80.342,27.3333333333333,NA
1-09-20,9,1,"Durham Armory","Durham",36.0329550008979,-78.904037,28.3333333333333,NA
1-09-20,9,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,38
1-09-20,9,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,19,31
1-09-20,9,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,24.6666666666667,NA
1-09-20,9,1,"Leggett","Edgecombe",35.988278,-77.5843,10.5,NA
1-09-20,9,1,"Linville Falls","Avery",35.972347,-81.933072,5,NA
1-09-20,9,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
1-09-20,9,1,"Millbrook School","Wake",35.856111,-78.574167,23.5,32
1-09-20,9,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
1-09-20,9,1,"West Johnston Co.","Johnston",35.59095,-78.4622,27.5,35
1-10-20,10,1,"Bryson City","Swain",35.434767,-83.442133,38,NA
1-10-20,10,1,"Castle Hayne","New Hanover",34.364167,-77.838611,11.5,NA
1-10-20,10,1,"Clemmons Middle","Forsyth",36.026,-80.342,33,NA
1-10-20,10,1,"Durham Armory","Durham",36.0329550008979,-78.904037,34,NA
1-10-20,10,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,45
1-10-20,10,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,24,28
1-10-20,10,1,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,28,NA
