"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
1-03-20,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-06-20,4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-09-20,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-12-20,26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-02-20,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-05-20,20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-08-20,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
2-11-20,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,1,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
1-03-20,11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
1-09-20,6,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-02-20,44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2-08-20,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
NA,24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
