"Month","Hour","Config1Gen","Config2EastGen","Config2WestGen","Config2TotalGen"
6,0,0,0,0,0
6,1,0,0,0,0
6,2,0,0,0,0
6,3,0,0,0,0
6,4,0,0,0,0
6,5,28.2622666666667,73.3211666666667,14.1748666666667,87.4960333333333
6,6,167.931633333333,441.2638,79.8612,521.125
6,7,626.480066666667,836.827466666667,128.626133333333,965.4536
6,8,1200.5341,1029.83976666667,153.258933333333,1183.0987
6,9,1598.15976666667,1072.716,353.087233333333,1425.80323333333
6,10,1868.2306,1062.18293333333,598.242066666667,1660.425
6,11,2001.4009,988.5363,794.430233333333,1782.96653333333
6,12,2074.11363333333,887.814133333333,947.263466666667,1835.0776
6,13,2021.80096666667,733.6057,1062.322,1795.9277
6,14,1703.30936666667,483.2198,1034.84836666667,1518.06816666667
6,15,1331.83103333333,254.2206,964.2852,1218.5058
6,16,865.2388,162.952966666667,829.767433333333,992.7204
6,17,368.968233333333,114.451933333333,623.549266666667,738.0012
6,18,110.007966666667,55.2055666666667,334.9883,390.193866666667
6,19,0,0,0,0
6,20,0,0,0,0
6,21,0,0,0,0
6,22,0,0,0,0
6,23,0,0,0,0
12,0,0,0,0,0
12,1,0,0,0,0
12,2,0,0,0,0
12,3,0,0,0,0
12,4,0,0,0,0
12,5,0,0,0,0
12,6,0,47.3971290322581,1.77490322580645,49.1720322580645
12,7,21.860935483871,560.127612903226,51.2228064516129,611.350419354839
12,8,901.735483870968,695.727806451613,79.1766451612903,774.904451612903
12,9,1540.59793548387,679.477,148.720677419355,828.197677419355
12,10,1814.84651612903,569.358,357.678903225806,927.036903225806
12,11,1831.06919354839,454.89635483871,554.807967741935,1009.70432258065
12,12,1964.71474193548,235.659290322581,638.582580645161,874.241870967742
12,13,1819.95238709677,81.1841290322581,707.250451612903,788.434580645161
12,14,1694.40993548387,60.9979677419355,666.129612903226,727.127580645161
12,15,1317.53135483871,20.3225806451613,175.736548387097,196.059129032258
12,16,474.290387096774,0,0,0
12,17,0,0,0,0
12,18,0,0,0,0
12,19,0,0,0,0
12,20,0,0,0,0
12,21,0,0,0,0
12,22,0,0,0,0
12,23,0,NA,NA,NA
